origen,destino,algoritmo,distancia,nodos_expandidos,tiempo_interno_algoritmo,tiempo_medido_experimento,memoria_peak_KB,caso_id,num_nodos_grafo,num_aristas_grafo
29,64,bidireccional,181.13379722781542,234,0.004357576370239258,0.0043871402740478516,23.328125,10,100,310
77,3,dijkstra,inf,114,0.0014162063598632812,0.0014202594757080078,11.5625,11,100,310
77,3,astar,inf,124,0.0024759769439697266,0.002496004104614258,18.6015625,11,100,310
77,3,bidireccional,inf,6,0.0002894401550292969,0.0003142356872558594,13.3203125,11,100,310
71,25,dijkstra,856.3352810014039,76,0.0009698867797851562,0.0009744167327880859,8.15625,12,100,310
71,25,astar,856.3352810014039,10,0.00037598609924316406,0.0003962516784667969,13.3203125,12,100,310
71,25,bidireccional,856.3352810014039,228,0.004275798797607422,0.004302978515625,23.3203125,12,100,310
91,83,dijkstra,531.5322241097122,23,0.0003294944763183594,0.00033354759216308594,6.734375,13,100,310
91,83,astar,531.5322241097122,11,0.0004646778106689453,0.0004858970642089844,13.3203125,13,100,310
91,83,bidireccional,531.5322241097122,226,0.00428462028503418,0.0043146610260009766,23.3203125,13,100,310
89,69,dijkstra,934.2286520547285,88,0.0011250972747802734,0.0011303424835205078,11.6171875,14,100,310
89,69,astar,934.2286520547285,17,0.0006914138793945312,0.000713348388671875,13.3671875,14,100,310
89,69,bidireccional,934.2286520547284,232,0.004464626312255859,0.0044934749603271484,23.25,14,100,310
53,28,dijkstra,624.7939622656793,62,0.0007371902465820312,0.0007414817810058594,8.1015625,15,100,310
53,28,astar,624.7939622656793,15,0.0006124973297119141,0.0006339550018310547,13.421875,15,100,310
53,28,bidireccional,624.7939622656793,226,0.00491023063659668,0.004957437515258789,23.25,15,100,310
57,75,dijkstra,1384.7916546900929,108,0.0018801689147949219,0.0018875598907470703,11.5390625,16,100,310
57,75,astar,1384.7916546900929,71,0.0019004344940185547,0.0019292831420898438,15.1171875,16,100,310
57,75,bidireccional,1384.7916546900926,220,0.0048143863677978516,0.004859209060668945,23.296875,16,100,310
35,0,dijkstra,781.4244001461814,89,0.0018935203552246094,0.0019023418426513672,11.5859375,17,100,310
35,0,astar,781.4244001461814,15,0.00074005126953125,0.0007736682891845703,13.3984375,17,100,310
35,0,bidireccional,781.4244001461813,222,0.005673885345458984,0.005726337432861328,23.21875,17,100,310
97,20,dijkstra,380.4164201247956,40,0.0006465911865234375,0.000652313232421875,8.2109375,18,100,310
97,20,astar,380.4164201247956,5,0.000438690185546875,0.0004620552062988281,13.3125,18,100,310
97,20,bidireccional,380.41642012479554,234,0.004924297332763672,0.004962921142578125,23.1875,18,100,310
89,54,dijkstra,553.1812478256851,44,0.0007283687591552734,0.0007359981536865234,6.734375,19,100,310
89,54,astar,553.1812478256851,18,0.0006802082061767578,0.0007104873657226562,13.3125,19,100,310
89,54,bidireccional,553.181247825685,232,0.005071878433227539,0.005124568939208984,23.2734375,19,100,310
43,35,dijkstra,336.75838990298905,19,0.0007374286651611328,0.0007512569427490234,6.734375,20,100,310
43,35,astar,336.75838990298905,6,0.0003781318664550781,0.0004017353057861328,13.3125,20,100,310
43,35,bidireccional,336.75838990298905,226,0.006305694580078125,0.0063474178314208984,23.2734375,20,100,310
19,27,dijkstra,801.9565778545315,93,0.001260995864868164,0.0012671947479248047,11.6484375,21,100,310
19,27,astar,801.9565778545315,22,0.0007851123809814453,0.0008077621459960938,13.3671875,21,100,310
19,27,bidireccional,801.9565778545314,228,0.005494594573974609,0.005536794662475586,23.21875,21,100,310
97,43,dijkstra,580.2714287251433,61,0.0009613037109375,0.0009675025939941406,8.2109375,22,100,310
97,43,astar,580.2714287251433,10,0.0006721019744873047,0.0007083415985107422,13.3125,22,100,310
97,43,bidireccional,580.2714287251433,234,0.004815340042114258,0.0048520565032958984,23.21875,22,100,310
13,11,dijkstra,473.51363904298125,36,0.0006196498870849609,0.0006244182586669922,6.734375,23,100,310
13,11,astar,473.51363904298125,9,0.0004718303680419922,0.0004956722259521484,13.3125,23,100,310
13,11,bidireccional,473.51363904298125,244,0.0046308040618896484,0.004660367965698242,23.2734375,23,100,310
